timestamp,layout.data_offset,data[0],data[1],data[2]
1752497242780315290,0.0,0.0,0.0,-1.0
1752497242817960457,0.0,0.0,0.0,-1.0
1752497242820902623,0.0,0.0,0.0,-1.0
1752497242845961998,0.0,0.0,0.0,-1.0
1752497242865187248,0.0,0.0,0.0,-1.0
1752497242886464832,0.0,0.0,0.0,-1.0
1752497242909962457,0.0,0.0,0.0,-1.0
1752497242929197790,0.0,0.0,0.0,-1.0
1752497242951557540,0.0,0.0,0.0,-1.0
1752497242972254040,0.0,0.0,0.0,-1.0
1752497242994208873,0.0,0.0,0.0,-1.0
1752497243013831957,0.0,0.0,0.0,-1.0
1752497243035470165,0.0,0.0,0.0,-1.0
1752497243058001874,0.0,0.0,0.0,-1.0
1752497243101385832,0.0,0.0,0.0,-1.0
1752497243107585665,0.0,0.0,0.0,-1.0
1752497243121756498,0.0,0.0,0.0,-1.0
1752497243139445873,0.0,0.0,0.0,-1.0
1752497243163302290,0.0,0.0,0.0,-1.0
1752497243181654582,0.0,0.0,0.0,-1.0
1752497243203901332,0.0,0.0,0.0,-1.0
1752497243228007374,0.0,0.0,0.0,0.0
1752497243249169040,0.0,0.0,0.0,0.0
1752497243271649582,0.0,0.0,0.0,0.0
1752497243293467165,0.0,0.0,0.0,0.0
1752497243344327623,0.0,0.0,0.0,0.0
1752497243348334332,0.0,0.0,0.0,0.0
1752497243357237874,0.0,0.0,0.0,0.0
1752497243378086498,0.0,0.0,0.0,0.0
1752497243397645665,0.0,0.0,0.0,0.0
1752497243419976457,0.0,0.0,0.0,0.0
1752497243441026082,0.0,0.0,0.0,0.0
1752497243463703665,0.0,0.0,0.0,0.0
1752497243484665499,0.0,0.0,0.0,0.0
1752497243503998332,0.0,0.0,0.0,0.0
1752497243619207374,0.0,0.0,0.0,0.0
1752497243625079665,0.0,0.0,0.0,0.0
1752497243628473165,0.0,0.0,0.0,0.0
1752497243632467123,0.0,0.0,0.0,0.0
1752497243636542082,0.0,0.0,0.0,0.0
1752497243638808915,0.0,0.0,0.0,0.0
1752497243655238457,0.0,0.0,0.0,0.0
1752497243675435207,0.0,0.0,0.0,0.0
1752497243695163332,0.0,0.0,0.0,0.0
1752497243742315832,0.0,0.0,0.0,0.0
1752497243747970957,0.0,0.0,0.0,0.0
1752497243764660582,0.0,0.0,0.0,0.0
1752497243782839999,0.0,0.0,0.0,0.0
1752497243804869040,0.0,0.0,0.0,0.0
1752497243824295040,0.0,0.0,0.0,0.0
1752497243845319707,0.0,0.0,0.0,0.0
1752497243866960290,0.0,0.0,0.0,0.0
1752497243887987332,0.0,0.0,0.0,0.0
1752497243909694040,0.0,0.0,0.0,0.0
1752497243945535290,0.0,0.0,0.0,0.0
1752497243952822373,0.0,0.0,0.0,0.0
1752497243973956332,0.0,0.0,0.0,0.0
1752497243994483998,0.0,0.0,0.0,0.0
1752497244017092790,0.0,0.0,0.0,0.0
